constructorName,points,races
ferrari,8371.5,948
mclaren,5558.5,831
williams,3567,745
tyrrell,621,433
team_lotus,918,395
sauber,557,395
renault,1679,395
minardi,38,345
ligier,388,330
brabham,595,310
red_bull,4897.5,296
arrows,142,296
toro_rosso,500,268
benetton,861.5,260
jordan,291,250
force_india,1098,212
mercedes,5437,207
brm,439,200
march,139.5,196
osella,5,171
toyota,278.5,140
ensign,19,133
alfa,111,129
surtees,53,119
fittipaldi,44,119
bar,227,118
ats,7,116
larrousse,22,114
shadow,58,98
footwork,25,97
haas,198,92
lola,27,88
honda,154,88
jaguar,49,85
virgin,66,84
prost,35,83
dallara,15,80
ags,2,78
lotus_f1,706,77
zakspeed,2,74
bmw_sauber,308,71
toleman,26,70
cooper-climax,229,67
coloni,0,65
wolf,79,64
hesketh,48,60
marussia,2,59
hrt,0,57
lotus-climax,253,56
caterham,0,56
theodore,2,51
lotus-brm,29,51
stewart,47,49
matra,52,47
eurobrun,0,46
ram,0,44
lotus-ford,174,44
penske,23,41
super_aguri,4,39
mclaren-ford,126,39
manor,1,39
lotus_racing,0,38
brabham-climax,64,35
porsche,48,33
pacific,0,33
brabham-repco,132,33
rial,6,32
leyton,8,32
merzario,0,31
racing_point,180,30
iso_marlboro,6,30
fondmetal,0,29
brabham-alfa_romeo,16,29
forti,0,27
onyx,6,26
spirit,0,25
brabham-brm,13,24
matra-ford,111,23
brabham-ford,51,23
simtek,0,21
maserati,34,20
spyker,1,17
eagle-weslake,13,17
brawn,172,17
parnelli,6,16
lambo,0,16
tomaso,0,14
shadow-ford,9.5,14
mf1,0,14
mclaren-brm,6,14
life,0,14
eagle-climax,4,13
brp,11,13
cooper-brm,14,12
vanwall,58,11
march-ford,34,11
hill,3,11
cooper,31,11
tecno,1,10
scirocco,0,10
mclaren-alfa_romeo,0,10
alphatauri,53,9
trojan,0,8
moda,0,8
martini,0,8
maki,0,8
emeryson,0,8
boro,0,8
march-alfa_romeo,0,7
gilby,0,7
jbw,0,6
bellasi,0,6
aston_martin,0,6
scarab,0,5
lec,0,5
cooper-castellotti,3,5
token,0,4
spyker_mf1,0,4
amon,0,4
rebaque,0,3
lotus-pw,0,3
lds,0,3
kurtis_kraft,0,3
de_tomaso-osca,0,3
connaught,0,3
watson,16,2
vhristensen,0,2
shadow-matra,0,2
phillips,3,2
mclaren-seren,1,2
lyncar,0,2
lotus-maserati,0,2
lotus-borgward,0,2
lesovsky,7,2
lds-climax,0,2
kuzma,0,2
kojima,0,2
kauhsen,0,2
epperly,7,2
de_tomaso-alfa_romeo,0,2
cooper-ford,0,2
cooper-ferrari,0,2
cooper-borgward,0,2
behra-porsche,0,2
trevis,1,1
tec-mec,0,1
sutton,0,1
stebro,0,1
shannon,0,1
re,0,1
protos,0,1
politoys,0,1
osca,0,1
moore,0,1
meskowski,0,1
mcguire,0,1
mbm,0,1
lds-alfa_romeo,0,1
gordini,0,1
fry,0,1
ferguson,0,1
ewing,0,1
enb,0,1
elder,0,1
dunn,0,1
derrington,0,1
de_tomaso-ferrari,0,1
cooper-osca,0,1
cooper-ats,0,1
cooper-alfa_romeo,0,1
connew,0,1
brm-ford,0,1
apollon,0,1
Grand Total,40734.5,11650